               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10931,            0.030369,            0.051214,             0.51206,            0.035903,           0.0091872,           0.0027518,            0.092672,            0.022222,             0.04511,            0.070476,           0.0032804,           0.0032804
                   1,            0.076858,             0.03361,            0.042373,             0.44904,             0.14442,            0.059112,            0.020886,            0.072589,            0.022142,            0.042032,            0.040258,           0.0063955,           0.0063955
                   2,             0.06694,              0.0291,            0.040969,             0.33841,              0.1605,            0.071124,            0.025448,            0.066259,            0.019504,            0.041396,           0.0098197,           0.0092906,           0.0092906
                   3,            0.061396,            0.027179,            0.040397,             0.49235,             0.16502,            0.085201,            0.040891,             0.06525,            0.017741,            0.040589,             0.00901,             0.00901,             0.00901
                   4,            0.056147,            0.026448,            0.039789,             0.59712,             0.19525,             0.10167,            0.047802,            0.055463,            0.019099,            0.040071,             0.00901,             0.00901,             0.00901
                   5,            0.053515,            0.026331,              0.0392,             0.49703,             0.19924,              0.1231,            0.064277,             0.05274,            0.019244,            0.039284,             0.00868,             0.00868,             0.00868
                   6,            0.050724,            0.025388,            0.037381,             0.51185,             0.20285,             0.13242,            0.063347,            0.053803,            0.019713,            0.038668,             0.00835,             0.00835,             0.00835
                   7,            0.049746,            0.025785,            0.037036,             0.54233,             0.17869,             0.12337,            0.064023,            0.051492,            0.019786,            0.039067,             0.00802,             0.00802,             0.00802
                   8,            0.048135,            0.025689,            0.035764,             0.51988,             0.19207,             0.13741,              0.0738,            0.050657,            0.020052,            0.038274,             0.00769,             0.00769,             0.00769
                   9,             0.04626,             0.02522,            0.035528,             0.53693,             0.19668,             0.14248,            0.081171,            0.049129,            0.019202,            0.037711,             0.00736,             0.00736,             0.00736
                  10,            0.045468,            0.023838,            0.032608,             0.51984,             0.19003,              0.1409,            0.079452,             0.04806,            0.020214,            0.037249,             0.00703,             0.00703,             0.00703
                  11,            0.043903,            0.023952,            0.032336,             0.51756,              0.1806,             0.14036,            0.076346,            0.048381,            0.019832,            0.037596,              0.0067,              0.0067,              0.0067
                  12,            0.043051,            0.024406,            0.031646,              0.5382,             0.19784,             0.15742,             0.08877,            0.048659,            0.018143,            0.037366,             0.00637,             0.00637,             0.00637
                  13,            0.042286,            0.024284,            0.030548,             0.56157,              0.2013,             0.16092,            0.083957,            0.049336,            0.018138,             0.03737,             0.00604,             0.00604,             0.00604
                  14,            0.040958,            0.024472,            0.030215,             0.53111,              0.2232,             0.17156,             0.10029,            0.046917,            0.018882,            0.037395,             0.00571,             0.00571,             0.00571
                  15,            0.040915,            0.022819,            0.028298,             0.56641,             0.20082,             0.17824,              0.1102,            0.046005,            0.018286,            0.037749,             0.00538,             0.00538,             0.00538
                  16,            0.039573,            0.022299,             0.02796,             0.51955,             0.20297,             0.16179,             0.09644,            0.046713,            0.018659,            0.037517,             0.00505,             0.00505,             0.00505
                  17,            0.039871,            0.022591,            0.027983,             0.36132,             0.21093,             0.15629,            0.094167,            0.046581,            0.018941,            0.039778,             0.00472,             0.00472,             0.00472
                  18,            0.037929,            0.022688,            0.027403,             0.36947,              0.2327,             0.15712,             0.09612,             0.04537,            0.018257,            0.039386,             0.00439,             0.00439,             0.00439
                  19,            0.038048,            0.021718,            0.024582,             0.54153,             0.21191,             0.16526,             0.10021,            0.045517,             0.01833,            0.039382,             0.00406,             0.00406,             0.00406
                  20,            0.037966,            0.021264,            0.025377,             0.57971,             0.20841,             0.17375,             0.10715,            0.045135,             0.01824,            0.038963,             0.00373,             0.00373,             0.00373
                  21,            0.037002,              0.0212,            0.024505,             0.52578,             0.21987,              0.1646,             0.10395,            0.044936,            0.019236,             0.03809,              0.0034,              0.0034,              0.0034
                  22,             0.03586,            0.021096,            0.022566,             0.55968,             0.20949,             0.18033,             0.11555,            0.044163,            0.018617,            0.038793,             0.00307,             0.00307,             0.00307
                  23,            0.036142,            0.020778,            0.022058,             0.57323,             0.20725,             0.18112,             0.11233,            0.044628,            0.018996,            0.039883,             0.00274,             0.00274,             0.00274
                  24,            0.035022,            0.020531,            0.021986,             0.37996,             0.23128,             0.17801,             0.11288,            0.043674,            0.018619,            0.039546,             0.00241,             0.00241,             0.00241
                  25,            0.034896,            0.019994,            0.021318,              0.3594,              0.2513,             0.18599,             0.11581,            0.043378,            0.018825,            0.038866,             0.00208,             0.00208,             0.00208
                  26,            0.033464,            0.019192,              0.0194,             0.40459,             0.22611,             0.18886,             0.11532,            0.043096,            0.018393,            0.039338,             0.00175,             0.00175,             0.00175
                  27,             0.03271,            0.018619,            0.019842,             0.39808,             0.22793,              0.1812,             0.11253,            0.043102,            0.018756,             0.03984,             0.00142,             0.00142,             0.00142
                  28,            0.033042,            0.019522,            0.019708,             0.38969,             0.23954,             0.18537,             0.11928,            0.043193,            0.018835,            0.040083,             0.00109,             0.00109,             0.00109
                  29,            0.033485,            0.020419,            0.019436,             0.42662,             0.24298,             0.18926,             0.12294,            0.042741,            0.018827,            0.040046,             0.00076,             0.00076,             0.00076
