               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050428,            0.023961,            0.047321,             0.33152,             0.53318,             0.38953,             0.26666,            0.026526,            0.013477,            0.039586,             0.07002,           0.0033311,           0.0033311
                   1,            0.035204,            0.017153,             0.03534,             0.49505,             0.66402,             0.60971,             0.46918,            0.022271,            0.012112,            0.029645,              0.0398,           0.0064445,           0.0064445
                   2,            0.032017,              0.0168,            0.030111,             0.60571,             0.64196,             0.66331,             0.50052,            0.022588,            0.012509,            0.027592,           0.0093605,           0.0093379,           0.0093379
                   3,            0.029429,            0.016848,            0.029081,             0.69337,             0.67897,             0.73598,             0.58084,            0.020479,            0.011953,            0.025027,             0.00901,             0.00901,             0.00901
                   4,            0.027021,            0.016173,            0.026657,             0.69858,             0.67166,             0.73317,             0.59263,            0.019332,             0.01139,            0.024617,             0.00901,             0.00901,             0.00901
                   5,            0.025283,            0.015404,            0.024911,             0.74584,             0.69448,             0.77093,             0.63223,            0.018493,            0.010999,             0.02287,             0.00868,             0.00868,             0.00868
                   6,            0.024033,            0.015084,            0.023361,             0.77861,             0.71687,             0.80565,             0.67097,             0.01761,             0.01057,            0.020086,             0.00835,             0.00835,             0.00835
                   7,            0.023415,            0.014738,            0.022234,             0.75713,             0.73412,             0.80865,             0.68094,            0.017088,            0.010312,            0.019985,             0.00802,             0.00802,             0.00802
                   8,            0.022828,            0.014431,            0.021263,              0.7987,             0.73217,             0.82199,             0.69827,            0.016374,           0.0099216,            0.019147,             0.00769,             0.00769,             0.00769
                   9,             0.02222,            0.014274,            0.020262,             0.81759,             0.74592,              0.8427,             0.72217,            0.016003,           0.0095947,            0.017898,             0.00736,             0.00736,             0.00736
                  10,            0.021566,            0.013843,            0.019461,             0.81629,              0.7531,             0.84574,             0.72877,            0.015704,           0.0094978,            0.017862,             0.00703,             0.00703,             0.00703
                  11,            0.021272,            0.013675,            0.018782,             0.80918,             0.77334,             0.85279,             0.73971,            0.015384,           0.0093473,            0.017065,              0.0067,              0.0067,              0.0067
                  12,            0.020888,            0.013552,            0.018085,             0.82728,             0.77993,             0.86678,              0.7534,            0.015083,           0.0092125,            0.016569,             0.00637,             0.00637,             0.00637
                  13,            0.020368,            0.013268,            0.017502,              0.8344,             0.78424,             0.86768,             0.75893,            0.014825,           0.0090691,             0.01615,             0.00604,             0.00604,             0.00604
                  14,            0.019979,            0.013058,            0.016781,             0.82894,             0.78121,             0.86282,             0.75573,            0.014546,           0.0088793,            0.015975,             0.00571,             0.00571,             0.00571
                  15,            0.019825,            0.012846,            0.016418,             0.83739,             0.80178,             0.88006,              0.7776,            0.014235,           0.0088006,            0.015331,             0.00538,             0.00538,             0.00538
                  16,             0.01948,            0.012668,            0.015688,             0.84734,             0.80081,             0.88642,             0.78433,            0.014215,           0.0087387,            0.014789,             0.00505,             0.00505,             0.00505
                  17,            0.019114,            0.012476,            0.015028,              0.8602,             0.79867,             0.89568,             0.79521,            0.014095,           0.0086181,            0.014059,             0.00472,             0.00472,             0.00472
                  18,            0.018808,            0.012274,            0.014568,             0.83999,             0.81754,             0.89563,             0.79566,            0.013893,            0.008476,            0.014324,             0.00439,             0.00439,             0.00439
                  19,            0.018572,            0.012262,            0.014005,             0.85362,             0.81908,             0.89606,             0.80207,            0.013654,           0.0083985,            0.014225,             0.00406,             0.00406,             0.00406
                  20,            0.018259,            0.012036,            0.013481,             0.85868,              0.8095,             0.89731,             0.80276,            0.013611,           0.0083633,            0.014172,             0.00373,             0.00373,             0.00373
                  21,             0.01795,            0.011806,            0.013015,             0.86203,             0.81005,             0.89678,             0.80443,            0.013498,           0.0083097,            0.014103,              0.0034,              0.0034,              0.0034
                  22,             0.01759,            0.011643,            0.012425,             0.84994,             0.81864,             0.89961,             0.80709,            0.013359,           0.0082261,            0.014178,             0.00307,             0.00307,             0.00307
                  23,            0.017424,            0.011497,            0.011842,             0.87551,              0.8094,             0.90182,             0.81244,            0.013298,            0.008209,            0.013756,             0.00274,             0.00274,             0.00274
                  24,            0.016956,            0.011289,            0.011298,             0.88451,             0.80624,             0.90241,             0.81508,             0.01316,           0.0081268,            0.013721,             0.00241,             0.00241,             0.00241
                  25,            0.016801,             0.01119,            0.010639,             0.86833,             0.82282,             0.90277,             0.81817,             0.01301,           0.0080364,            0.013957,             0.00208,             0.00208,             0.00208
                  26,            0.016475,            0.011021,            0.010151,             0.87383,             0.82399,             0.90343,             0.82003,            0.012926,           0.0080222,            0.013966,             0.00175,             0.00175,             0.00175
                  27,            0.016225,            0.010821,           0.0095837,             0.87286,             0.82624,             0.90493,             0.82184,            0.012878,           0.0079789,            0.013843,             0.00142,             0.00142,             0.00142
                  28,             0.01596,            0.010699,           0.0092832,             0.87332,              0.8225,             0.90358,             0.82179,            0.012855,            0.007959,              0.0141,             0.00109,             0.00109,             0.00109
                  29,            0.015726,            0.010552,           0.0085267,             0.87198,             0.82574,             0.90241,             0.82265,            0.012818,           0.0079368,             0.01438,             0.00076,             0.00076,             0.00076
